rank,scenario,risk_difference
1,frozen_08,-0.632000
2,frozen_64,-0.576000
3,frozen_22,-0.516000
4,frozen_44,-0.504000
5,frozen_11,-0.464000
6,frozen_87,-0.444000
7,frozen_47,-0.420000
8,frozen_57,-0.388000
9,frozen_92,-0.372000
10,frozen_76,-0.344000
11,frozen_78,-0.344000
12,frozen_32,-0.252000
13,frozen_71,-0.252000
14,frozen_26,-0.220000
15,frozen_10,-0.168000
16,frozen_75,-0.168000
17,frozen_72,-0.156000
18,frozen_50,-0.144000
19,frozen_95,-0.144000
20,frozen_05,-0.124000
21,frozen_63,-0.104000
22,frozen_85,-0.104000
23,frozen_38,-0.096000
24,frozen_06,-0.092000
25,frozen_74,-0.092000
26,frozen_31,-0.064000
27,frozen_83,-0.064000
28,frozen_52,-0.048000
29,frozen_68,-0.044000
30,frozen_18,-0.044000
31,frozen_86,-0.036000
32,frozen_73,-0.032000
33,frozen_02,-0.020000
34,frozen_29,-0.016000
35,frozen_66,-0.016000
36,frozen_69,-0.004000
37,frozen_00,0.000000
38,frozen_01,0.000000
39,frozen_03,0.000000
40,frozen_04,0.000000
41,frozen_07,0.000000
42,frozen_09,0.000000
43,frozen_12,0.000000
44,frozen_13,0.000000
45,frozen_14,0.000000
46,frozen_15,0.000000
47,frozen_16,0.000000
48,frozen_17,0.000000
49,frozen_19,0.000000
50,frozen_20,0.000000
51,frozen_21,0.000000
52,frozen_23,0.000000
53,frozen_24,0.000000
54,frozen_25,0.000000
55,frozen_27,0.000000
56,frozen_28,0.000000
57,frozen_30,0.000000
58,frozen_33,0.000000
59,frozen_34,0.000000
60,frozen_35,0.000000
61,frozen_36,0.000000
62,frozen_37,0.000000
63,frozen_39,0.000000
64,frozen_40,0.000000
65,frozen_41,0.000000
66,frozen_42,0.000000
67,frozen_43,0.000000
68,frozen_45,0.000000
69,frozen_46,0.000000
70,frozen_48,0.000000
71,frozen_49,0.000000
72,frozen_51,0.000000
73,frozen_53,0.000000
74,frozen_54,0.000000
75,frozen_55,0.000000
76,frozen_56,0.000000
77,frozen_58,0.000000
78,frozen_59,0.000000
79,frozen_60,0.000000
80,frozen_61,0.000000
81,frozen_62,0.000000
82,frozen_65,0.000000
83,frozen_67,0.000000
84,frozen_70,0.000000
85,frozen_77,0.000000
86,frozen_79,0.000000
87,frozen_80,0.000000
88,frozen_81,0.000000
89,frozen_82,0.000000
90,frozen_84,0.000000
91,frozen_88,0.000000
92,frozen_89,0.000000
93,frozen_90,0.000000
94,frozen_91,0.000000
95,frozen_93,0.000000
96,frozen_94,0.000000
