scenario,state_only_fail,history_fail
frozen_00,0.896,0.896
frozen_01,0.352,0.352
frozen_02,0.976,0.956
frozen_03,0.180,0.180
frozen_04,0.616,0.616
frozen_05,1.000,0.876
frozen_06,0.956,0.864
frozen_07,0.504,0.504
frozen_08,0.768,0.136
frozen_09,0.564,0.564
frozen_10,0.800,0.632
frozen_11,0.992,0.528
frozen_12,0.928,0.928
frozen_13,0.980,0.980
frozen_14,0.796,0.796
frozen_15,0.932,0.932
frozen_16,0.848,0.848
frozen_17,0.352,0.352
frozen_18,0.972,0.928
frozen_19,0.776,0.776
frozen_20,0.872,0.872
frozen_21,0.688,0.688
frozen_22,0.884,0.368
frozen_23,0.944,0.944
frozen_24,0.556,0.556
frozen_25,0.768,0.768
frozen_26,0.824,0.604
frozen_27,0.180,0.180
frozen_28,0.848,0.848
frozen_29,0.980,0.964
frozen_30,0.924,0.924
frozen_31,0.968,0.904
frozen_32,0.984,0.732
frozen_33,0.544,0.544
frozen_34,0.376,0.376
frozen_35,0.768,0.768
frozen_36,0.352,0.352
frozen_37,0.888,0.888
frozen_38,0.924,0.828
frozen_39,0.972,0.972
frozen_40,0.180,0.180
frozen_41,0.844,0.844
frozen_42,0.936,0.936
frozen_43,0.296,0.296
frozen_44,0.848,0.344
frozen_45,0.716,0.716
frozen_46,0.620,0.620
frozen_47,0.840,0.420
frozen_48,0.524,0.524
frozen_49,0.432,0.432
frozen_50,0.980,0.836
frozen_51,0.180,0.180
frozen_52,0.972,0.924
frozen_53,0.684,0.684
frozen_54,0.912,0.912
frozen_55,0.852,0.852
frozen_56,0.912,0.912
frozen_57,0.880,0.492
frozen_58,0.260,0.260
frozen_59,0.768,0.768
frozen_60,0.352,0.352
frozen_61,0.436,0.436
frozen_62,0.768,0.768
frozen_63,0.952,0.848
frozen_64,0.848,0.272
frozen_65,0.260,0.260
frozen_66,0.992,0.976
frozen_67,0.676,0.676
frozen_68,0.912,0.868
frozen_69,0.988,0.984
frozen_70,0.524,0.524
frozen_71,0.688,0.436
frozen_72,0.976,0.820
frozen_73,0.992,0.960
frozen_74,0.980,0.888
frozen_75,0.960,0.792
frozen_76,0.880,0.536
frozen_77,0.848,0.848
frozen_78,0.892,0.548
frozen_79,0.948,0.948
frozen_80,0.504,0.504
frozen_81,0.564,0.564
frozen_82,0.688,0.688
frozen_83,0.972,0.908
frozen_84,0.688,0.688
frozen_85,0.948,0.844
frozen_86,0.972,0.936
frozen_87,0.824,0.380
frozen_88,0.352,0.352
frozen_89,0.864,0.864
frozen_90,0.260,0.260
frozen_91,0.704,0.704
frozen_92,0.924,0.552
frozen_93,0.936,0.936
frozen_94,0.524,0.524
frozen_95,0.784,0.640
