scenario,state_only_fail,history_fail
frozen_00,0.896,0.896
frozen_01,0.352,0.352
frozen_03,0.180,0.180
frozen_04,0.616,0.616
frozen_07,0.504,0.504
frozen_09,0.564,0.564
frozen_12,0.928,0.928
frozen_13,0.980,0.980
frozen_14,0.796,0.796
frozen_15,0.932,0.932
frozen_16,0.848,0.848
frozen_17,0.352,0.352
frozen_19,0.776,0.776
frozen_20,0.872,0.872
frozen_21,0.688,0.688
frozen_23,0.944,0.944
frozen_24,0.556,0.556
frozen_25,0.768,0.768
frozen_27,0.180,0.180
frozen_28,0.848,0.848
frozen_30,0.924,0.924
frozen_33,0.544,0.544
frozen_34,0.376,0.376
frozen_35,0.768,0.768
frozen_36,0.352,0.352
frozen_37,0.888,0.888
frozen_39,0.972,0.972
frozen_40,0.180,0.180
frozen_41,0.844,0.844
frozen_42,0.936,0.936
frozen_43,0.296,0.296
frozen_45,0.716,0.716
frozen_46,0.620,0.620
frozen_48,0.524,0.524
frozen_49,0.432,0.432
frozen_51,0.180,0.180
frozen_53,0.684,0.684
frozen_54,0.912,0.912
frozen_55,0.852,0.852
frozen_56,0.912,0.912
frozen_58,0.260,0.260
frozen_59,0.768,0.768
frozen_60,0.352,0.352
frozen_61,0.436,0.436
frozen_62,0.768,0.768
frozen_65,0.260,0.260
frozen_67,0.676,0.676
frozen_70,0.524,0.524
frozen_77,0.848,0.848
frozen_79,0.948,0.948
frozen_80,0.504,0.504
frozen_81,0.564,0.564
frozen_82,0.688,0.688
frozen_84,0.688,0.688
frozen_88,0.352,0.352
frozen_89,0.864,0.864
frozen_90,0.260,0.260
frozen_91,0.704,0.704
frozen_93,0.936,0.936
frozen_94,0.524,0.524
