planner,env_type,map_seed,episode_seed,target_ece,realized_ece,trust,attack_type,attack_eps,shield_enabled,density_override,success,collisions,near_misses,replans,avg_replan_latency_ms,path_length,cvar95,mean_risk,energy,safety_violations,shield_prevented
CVaRPlanner,static,1000,1010001,0.01,0.04606642320752144,0.9323476843289624,none,0.0,True,,1,0,0,3,5.1697240000028915,33.1126983722081,0.057834149027864136,0.021329400233096547,33.562698372208104,0,0
DynNavCurrent,static,1000,1010001,0.01,0.04606642320752144,0.9323476843289624,none,0.0,True,,1,0,0,3,3.4176870000000767,33.1126983722081,0.057834149027864136,0.021329400233096547,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1010001,0.01,0.04606642320752144,0.9323476843289624,none,0.0,True,,1,0,0,3,5.019249999998958,33.1126983722081,0.057834149027864136,0.021329400233096547,33.562698372208104,0,0
CVaRPlanner,static,1000,1010005,0.05,0.04718347609043121,0.9313914192361594,none,0.0,True,,1,0,0,3,3.8386146666624654,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1010005,0.05,0.04718347609043121,0.9313914192361594,none,0.0,True,,1,0,0,3,3.6146166666668478,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1010005,0.05,0.04718347609043121,0.9313914192361594,none,0.0,True,,1,0,0,3,5.149394999998928,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1010010,0.1,0.0472186803817749,0.931361341984275,none,0.0,True,,1,0,0,3,3.826936999994738,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1010010,0.1,0.0472186803817749,0.931361341984275,none,0.0,True,,1,0,0,3,3.4462523333331774,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1010010,0.1,0.0472186803817749,0.931361341984275,none,0.0,True,,1,0,0,3,5.204067999997619,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
CVaRPlanner,static,1000,1010020,0.2,0.04257625341415405,0.9353585198226146,none,0.0,True,,1,0,0,3,3.8426006666630506,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
DynNavCurrent,static,1000,1010020,0.2,0.04257625341415405,0.9353585198226146,none,0.0,True,,1,0,0,3,3.3954899999931363,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1010020,0.2,0.04257625341415405,0.9353585198226146,none,0.0,True,,1,0,0,3,4.944631333340037,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
CVaRPlanner,static,1000,1010030,0.3,0.03995639085769653,0.9376416993382342,none,0.0,True,,1,0,0,3,3.710115000004066,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
DynNavCurrent,static,1000,1010030,0.3,0.03995639085769653,0.9376416993382342,none,0.0,True,,1,0,0,3,3.3648299999953224,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1010030,0.3,0.03995639085769653,0.9376416993382342,none,0.0,True,,1,0,0,3,4.934714666665248,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
CVaRPlanner,static,1000,1010011,0.01,0.036938624978065486,0.9402964853210367,none,0.0,True,,1,0,0,3,3.775615333334296,33.1126983722081,0.057834149027864136,0.021329400233096547,33.562698372208104,0,0
DynNavCurrent,static,1000,1010011,0.01,0.036938624978065486,0.9402964853210367,none,0.0,True,,1,0,0,3,3.435942333330407,33.1126983722081,0.057834149027864136,0.021329400233096547,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1010011,0.01,0.036938624978065486,0.9402964853210367,none,0.0,True,,1,0,0,3,5.751169333332011,33.1126983722081,0.057834149027864136,0.021329400233096547,33.562698372208104,0,0
CVaRPlanner,static,1000,1010015,0.05,0.038932711929082875,0.9385392565439832,none,0.0,True,,1,0,0,3,5.166668999995257,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1010015,0.05,0.038932711929082875,0.9385392565439832,none,0.0,True,,1,0,0,3,4.788637333329386,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1010015,0.05,0.038932711929082875,0.9385392565439832,none,0.0,True,,1,0,0,3,5.521432000008986,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1010020,0.1,0.042694926261901855,0.9352555689507436,none,0.0,True,,1,0,0,3,3.7749836666686556,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1010020,0.1,0.042694926261901855,0.9352555689507436,none,0.0,True,,1,0,0,3,3.427058333334306,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1010020,0.1,0.042694926261901855,0.9352555689507436,none,0.0,True,,1,0,0,3,5.102852999996799,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
CVaRPlanner,static,1000,1010030,0.2,0.03997606039047241,0.9376244812871917,none,0.0,True,,1,0,0,3,4.924756999997726,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
DynNavCurrent,static,1000,1010030,0.2,0.03997606039047241,0.9376244812871917,none,0.0,True,,1,0,0,3,3.531354666662878,32.5269119345812,0.0842151256899039,0.03217070642858744,32.9769119345812,0,0
