planner,env_type,map_seed,episode_seed,target_ece,realized_ece,trust,attack_type,attack_eps,shield_enabled,density_override,success,collisions,near_misses,replans,avg_replan_latency_ms,path_length,cvar95,mean_risk,energy,safety_violations,shield_prevented
CVaRPlanner,static,1000,1040084,0.05,0.02860287606716156,0.7538631997186018,fgsm,0.3,True,,1,0,0,4,4.727099999996653,34.87005768508882,0.3278661482036114,0.07500000298023224,35.47005768508882,0,0
DynNavCurrent,static,1000,1040084,0.05,0.02860287606716156,0.7538631997186018,fgsm,0.3,True,,1,0,0,4,4.466836750012249,34.87005768508882,0.3278661482036114,0.07500000298023224,35.47005768508882,0,0
TrustAwareCVaR,static,1000,1040084,0.05,0.02860287606716156,0.7538631997186018,fgsm,0.3,True,,1,0,0,4,7.016310000011572,34.87005768508882,0.3278661482036114,0.07500000298023224,35.47005768508882,0,0
CVaRPlanner,static,1000,1040065,0.05,0.029729686379432678,0.7488134199915002,pgd,0.3,True,,1,0,0,3,6.444663333335636,33.1126983722081,0.3842151363690694,0.29867249064975315,33.562698372208104,0,0
DynNavCurrent,static,1000,1040065,0.05,0.029729686379432678,0.7488134199915002,pgd,0.3,True,,1,0,0,3,6.258857333345229,33.1126983722081,0.3842151363690694,0.29867249064975315,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040065,0.05,0.029729686379432678,0.7488134199915002,pgd,0.3,True,,1,0,0,3,8.25790233331721,32.5269119345812,0.3842151363690694,0.2946707159280777,32.9769119345812,0,0
CVaRPlanner,static,1000,1040073,0.05,0.04032230108976364,0.937321613156384,spoofing,0.3,True,,1,0,0,4,3.89350599999716,35.45584412271572,0.04763508541509509,0.010762467607855796,36.05584412271572,0,0
DynNavCurrent,static,1000,1040073,0.05,0.04032230108976364,0.937321613156384,spoofing,0.3,True,,1,0,0,4,4.40278550000528,35.45584412271572,0.04763508541509509,0.010762467607855796,36.05584412271572,0,0
TrustAwareCVaR,static,1000,1040073,0.05,0.04032230108976364,0.937321613156384,spoofing,0.3,True,,1,0,0,4,5.428527999981725,35.45584412271572,0.04763508541509509,0.010762467607855796,36.05584412271572,0,0
CVaRPlanner,static,1000,1040094,0.05,0.02998834699392319,0.7529972172981324,fgsm,0.3,True,,1,0,0,4,4.679670750007858,33.698484809835,0.3771732747554779,0.17802384495735168,34.298484809835,0,0
DynNavCurrent,static,1000,1040094,0.05,0.02998834699392319,0.7529972172981324,fgsm,0.3,True,,1,0,0,4,4.419257999998649,33.698484809835,0.3771732747554779,0.17802384495735168,34.298484809835,0,0
TrustAwareCVaR,static,1000,1040094,0.05,0.02998834699392319,0.7529972172981324,fgsm,0.3,True,,1,0,0,3,7.953817999994802,33.1126983722081,0.3842151363690694,0.198672483364741,33.562698372208104,0,0
CVaRPlanner,static,1000,1040075,0.05,0.04495397344231606,0.7354708978299694,pgd,0.3,True,,1,0,0,3,6.100611333332988,32.5269119345812,0.3842151363690694,0.3246707171201706,32.9769119345812,0,0
DynNavCurrent,static,1000,1040075,0.05,0.04495397344231606,0.7354708978299694,pgd,0.3,True,,1,0,0,3,6.774413333308378,32.5269119345812,0.3842151363690694,0.3246707171201706,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1040075,0.05,0.04495397344231606,0.7354708978299694,pgd,0.3,True,,1,0,0,3,8.04755766667616,32.5269119345812,0.3842151363690694,0.3246707171201706,32.9769119345812,0,0
CVaRPlanner,static,1000,1040083,0.05,0.03844172745943069,0.9389708375438579,spoofing,0.3,True,,1,0,0,3,3.8847386666702732,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1040083,0.05,0.03844172745943069,0.9389708375438579,spoofing,0.3,True,,1,0,0,3,3.2572413333393038,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040083,0.05,0.03844172745943069,0.9389708375438579,spoofing,0.3,True,,1,0,0,3,5.185998333331554,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1040104,0.05,0.03596310168504715,0.7478786360617342,fgsm,0.3,True,,1,0,0,4,4.65513074998114,37.698484809834994,0.24402128905057907,0.0,38.298484809834996,0,0
DynNavCurrent,static,1000,1040104,0.05,0.03596310168504715,0.7478786360617342,fgsm,0.3,True,,1,0,0,4,3.903383749999989,37.698484809834994,0.24402128905057907,0.0,38.298484809834996,0,0
TrustAwareCVaR,static,1000,1040104,0.05,0.03596310168504715,0.7478786360617342,fgsm,0.3,True,,1,0,0,4,6.630569499975536,37.698484809834994,0.24402128905057907,0.0,38.298484809834996,0,0
CVaRPlanner,static,1000,1040085,0.05,0.026459328532218933,0.7516163020822401,pgd,0.3,True,,1,0,0,3,6.469457666658703,32.5269119345812,0.3842151363690694,0.3321707174181938,32.9769119345812,0,0
DynNavCurrent,static,1000,1040085,0.05,0.026459328532218933,0.7516163020822401,pgd,0.3,True,,1,0,0,3,6.361882999973052,32.5269119345812,0.3842151363690694,0.3321707174181938,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1040085,0.05,0.026459328532218933,0.7516163020822401,pgd,0.3,True,,1,0,0,3,8.326487000014518,32.5269119345812,0.3842151363690694,0.3321707174181938,32.9769119345812,0,0
CVaRPlanner,static,1000,1040093,0.05,0.040913879424333575,0.9368049450869671,spoofing,0.3,True,,1,0,0,3,3.5834590000073754,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1040093,0.05,0.040913879424333575,0.9368049450869671,spoofing,0.3,True,,1,0,0,3,3.122607333295946,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040093,0.05,0.040913879424333575,0.9368049450869671,spoofing,0.3,True,,1,0,0,3,4.851264333334863,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1040114,0.05,0.03600203990936279,0.747609767329444,fgsm,0.3,True,,1,0,0,4,5.000278249980283,34.87005768508881,0.34140877798199654,0.2414790391921997,35.47005768508881,0,0
DynNavCurrent,static,1000,1040114,0.05,0.03600203990936279,0.747609767329444,fgsm,0.3,True,,1,0,0,4,5.313588500001742,34.87005768508881,0.34140877798199654,0.2414790391921997,35.47005768508881,0,0
TrustAwareCVaR,static,1000,1040114,0.05,0.03600203990936279,0.747609767329444,fgsm,0.3,True,,1,0,0,3,8.447227666673976,33.1126983722081,0.35931403934955597,0.1817685498131646,33.562698372208104,0,0
CVaRPlanner,static,1000,1040095,0.05,0.030412173867225646,0.7480342045047174,pgd,0.3,True,,1,0,0,3,5.861033666671271,32.5269119345812,0.3842151363690694,0.2909207157790661,32.9769119345812,0,0
DynNavCurrent,static,1000,1040095,0.05,0.030412173867225646,0.7480342045047174,pgd,0.3,True,,1,0,0,3,5.734103666649541,32.5269119345812,0.3842151363690694,0.2909207157790661,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1040095,0.05,0.030412173867225646,0.7480342045047174,pgd,0.3,True,,1,0,0,3,7.62787766668301,32.5269119345812,0.3842151363690694,0.2909207157790661,32.9769119345812,0,0
CVaRPlanner,static,1000,1040103,0.05,0.040997779369354254,0.936731751666682,spoofing,0.3,True,,1,0,0,3,4.234404999995907,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1040103,0.05,0.040997779369354254,0.936731751666682,spoofing,0.3,True,,1,0,0,3,3.2471836666635077,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040103,0.05,0.040997779369354254,0.936731751666682,spoofing,0.3,True,,1,0,0,3,4.901480666679466,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
