planner,env_type,map_seed,episode_seed,target_ece,realized_ece,trust,attack_type,attack_eps,shield_enabled,density_override,success,collisions,near_misses,replans,avg_replan_latency_ms,path_length,cvar95,mean_risk,energy,safety_violations,shield_prevented
CVaRPlanner,static,1000,1050001,0.05,0.028605982959270478,0.947767052758653,none,0.0,True,,1,0,0,3,5.73309666666925,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1050001,0.05,0.028605982959270478,0.947767052758653,none,0.0,True,,1,0,0,3,3.4320630000100514,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1050001,0.05,0.028605982959270478,0.947767052758653,none,0.0,True,,1,0,0,3,4.99478800001422,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1050000,0.05,0.03144457370042801,0.9451987983360979,none,0.0,False,,1,0,0,3,3.8229150000006484,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1050000,0.05,0.03144457370042801,0.9451987983360979,none,0.0,False,,1,0,0,3,3.3995659999845884,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1050000,0.05,0.03144457370042801,0.9451987983360979,none,0.0,False,,1,0,0,3,5.027836666651335,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1050011,0.05,0.03995198607444763,0.9376455586010155,none,0.0,True,,1,0,0,3,3.7704486666712,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1050011,0.05,0.03995198607444763,0.9376455586010155,none,0.0,True,,1,0,0,3,3.4195346666668534,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1050011,0.05,0.03995198607444763,0.9376455586010155,none,0.0,True,,1,0,0,3,5.118860999990223,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1050010,0.05,0.041211391687393184,0.9365454909285169,none,0.0,False,,1,0,0,3,3.7951476666459407,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1050010,0.05,0.041211391687393184,0.9365454909285169,none,0.0,False,,1,0,0,3,3.4951946666789504,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1050010,0.05,0.041211391687393184,0.9365454909285169,none,0.0,False,,1,0,0,3,5.105124333340427,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1050021,0.05,0.03989746570587158,0.9376932853467954,none,0.0,True,,1,0,0,3,3.829486666650913,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1050021,0.05,0.03989746570587158,0.9376932853467954,none,0.0,True,,1,0,0,3,3.440006333335077,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1050021,0.05,0.03989746570587158,0.9376932853467954,none,0.0,True,,1,0,0,3,5.105117333319716,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1050020,0.05,0.04118101477622986,0.9365719701979585,none,0.0,False,,1,0,0,3,3.801946333339856,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1050020,0.05,0.04118101477622986,0.9365719701979585,none,0.0,False,,1,0,0,3,3.411884333350675,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1050020,0.05,0.04118101477622986,0.9365719701979585,none,0.0,False,,1,0,0,3,5.043958999995842,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1050031,0.05,0.037117171287536624,0.9401386668749043,none,0.0,True,,1,0,0,3,3.808648333309369,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1050031,0.05,0.037117171287536624,0.9401386668749043,none,0.0,True,,1,0,0,3,3.461296333341579,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1050031,0.05,0.037117171287536624,0.9401386668749043,none,0.0,True,,1,0,0,3,5.076466666669906,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
