scenario,method,activation_probability,closure_probability,true_sensitivity,true_specificity,assumed_sensitivity,assumed_specificity,trials,scenario_seed,empirical_failure_rate,mean_predicted_failure_probability,brier_score,false_safe_rate_at_0_2,safe_decision_rate_at_0_2
informative_correct,bayes_posterior,0.5,0.8,0.9,0.9,0.9,0.9,100000,20260924,0.40067,0.40074880000078456,0.13735384000021297,0.07932562195537558,0.49883
informative_correct,prior_only,0.5,0.8,0.9,0.9,0.9,0.9,100000,20260924,0.40067,0.4000000000007539,0.24013400000005694,0.0,0.0
informative_correct,detector_as_truth,0.5,0.8,0.9,0.9,0.9,0.9,100000,20260924,0.40067,0.4009360000000561,0.14365880000010492,0.07932562195537558,0.49883
informative_correct,activation_oracle,0.5,0.8,0.9,0.9,0.9,0.9,100000,20260924,0.40067,0.400096000000053,0.07967480000000023,0.0,0.49988
weak_correct,bayes_posterior,0.5,0.8,0.6,0.6,0.6,0.6,100000,20260925,0.40199,0.40017440000000715,0.23389592000011322,0.0,0.0
weak_correct,prior_only,0.5,0.8,0.6,0.6,0.6,0.6,100000,20260925,0.40199,0.4000000000007539,0.24039800000005646,0.0,0.0
weak_correct,detector_as_truth,0.5,0.8,0.6,0.6,0.6,0.6,100000,20260925,0.40199,0.40087200000005585,0.3358876000000526,0.3211801727766531,0.49891
weak_correct,activation_oracle,0.5,0.8,0.6,0.6,0.6,0.6,100000,20260925,0.40199,0.40051200000005455,0.07921560000000004,0.0,0.49936
missed_activation,bayes_posterior,0.5,0.8,0.6,0.9,0.95,0.9,100000,20260926,0.39959,0.2808585463657662,0.22558214979829944,0.24811856503070318,0.64977
missed_activation,prior_only,0.5,0.8,0.6,0.9,0.95,0.9,100000,20260926,0.39959,0.4000000000007539,0.23991800000005634,0.0,0.0
missed_activation,detector_as_truth,0.5,0.8,0.6,0.9,0.95,0.9,100000,20260926,0.39959,0.2801839999998328,0.24234520000009754,0.24811856503070318,0.64977
missed_activation,activation_oracle,0.5,0.8,0.6,0.9,0.95,0.9,100000,20260926,0.39959,0.4002160000000535,0.08041880000000068,0.0,0.49973
false_positive_sensor,bayes_posterior,0.5,0.8,0.9,0.6,0.9,0.95,100000,20260927,0.40042,0.5204026065168638,0.22380158257794064,0.11372639072277398,0.34838
false_positive_sensor,prior_only,0.5,0.8,0.9,0.6,0.9,0.95,100000,20260927,0.40042,0.4000000000007539,0.24008400000005578,0.0,0.0
false_positive_sensor,detector_as_truth,0.5,0.8,0.9,0.6,0.9,0.95,100000,20260927,0.40042,0.5212960000004939,0.24017680000010644,0.11372639072277398,0.34838
false_positive_sensor,activation_oracle,0.5,0.8,0.9,0.6,0.9,0.95,100000,20260927,0.40042,0.4014400000000579,0.08090000000000078,0.0,0.4982
low_activation_risk,bayes_posterior,0.2,0.8,0.7,0.9,0.7,0.9,100000,20260928,0.1574,0.15924811188775048,0.09914493657375578,0.06068979633609661,0.78168
low_activation_risk,prior_only,0.2,0.8,0.7,0.9,0.7,0.9,100000,20260928,0.1574,0.15999999999987768,0.1326320000002084,0.1574,1.0
low_activation_risk,detector_as_truth,0.2,0.8,0.7,0.9,0.7,0.9,100000,20260928,0.1574,0.17465599999992878,0.12118880000001854,0.06068979633609661,0.78168
low_activation_risk,activation_oracle,0.2,0.8,0.7,0.9,0.7,0.9,100000,20260928,0.1574,0.157927999999944,0.03190239999999474,0.0,0.80259
high_activation_risk,bayes_posterior,0.8,0.8,0.7,0.9,0.7,0.9,100000,20260929,0.63915,0.6407503448268732,0.2067657934431212,0.0,0.0
high_activation_risk,prior_only,0.8,0.8,0.7,0.9,0.7,0.9,100000,20260929,0.63915,0.6399999999995107,0.23063800000012674,0.0,0.0
high_activation_risk,detector_as_truth,0.8,0.8,0.7,0.9,0.7,0.9,100000,20260929,0.63915,0.4659040000002924,0.29438520000022794,0.4566831090465016,0.41762
high_activation_risk,activation_oracle,0.8,0.8,0.7,0.9,0.7,0.9,100000,20260929,0.63915,0.6404800000009275,0.12889400000017157,0.0,0.1994
